	sen_prob	wrong_prob	sen_nll	wrong_nll	delta
69	[-0.7563047409057617, -18.443178176879883, -10.716130256652832, -6.112778663635254, -0.3707008361816406, -11.238018989562988]	[-0.7563047409057617, -18.443178176879883, -10.716130256652832, -11.264052391052246, -0.2664947509765625, -11.652186393737793]	47.63711166381836	53.09834671020508	5.461235046386719
70	[-0.7777080535888672, -17.11612892150879, -11.168392181396484, -5.727367401123047, -1.598104476928711, -11.1290864944458]	[-0.7777080535888672, -17.11612892150879, -11.168392181396484, -8.799823760986328, -1.1335344314575195, -10.902332305908203]	47.516788482666016	49.897918701171875	2.3811302185058594
71	[-0.9544820785522461, -17.2071533203125, -10.078497886657715, -6.531927108764648, -2.2972278594970703, -11.098250389099121]	[-0.9544820785522461, -17.2071533203125, -10.078497886657715, -9.230790138244629, -3.7717838287353516, -10.439531326293945]	48.16754150390625	51.6822395324707	3.514698028564453
72	[-0.9734363555908203, -16.242725372314453, -14.936633110046387, -2.7688302993774414, -1.134033203125, -11.267424583435059]	[-0.9734363555908203, -16.242725372314453, -14.936633110046387, -5.968440055847168, -1.4222040176391602, -11.032880783081055]	47.323081970214844	50.57632064819336	3.2532386779785156
73	[-1.4606246948242188, -15.933317184448242, -10.895550727844238, -2.683675765991211, -2.092824935913086, -11.332698822021484]	[-1.4606246948242188, -15.933317184448242, -10.895550727844238, -6.078193664550781, -2.19559383392334, -10.383981704711914]	44.39868927001953	46.947261810302734	2.548572540283203
74	[-1.523869514465332, -16.23690414428711, -10.461912155151367, -4.773918151855469, -1.9214401245117188, -10.818187713623047]	[-1.523869514465332, -16.23690414428711, -10.461912155151367, -7.011477470397949, -1.7446985244750977, -10.959328651428223]	45.736228942871094	47.93819046020508	2.2019615173339844
75	[-1.5904016494750977, -16.01416778564453, -11.918493270874023, -4.684453964233398, -1.1091194152832031, -11.649066925048828]	[-1.5904016494750977, -16.01416778564453, -11.918493270874023, -8.822172164916992, -0.7340335845947266, -11.428244590759277]	46.96570587158203	50.50751495361328	3.54180908203125
76	[-0.5715293884277344, -14.94070053100586, -12.744043350219727, -0.7829780578613281, -0.9584846496582031, -11.435546875]	[-0.5715293884277344, -14.94070053100586, -12.744043350219727, -5.844658851623535, -1.3478765487670898, -12.179895401000977]	41.433284759521484	47.628700256347656	6.195415496826172
77	[-0.24796390533447266, -15.479179382324219, -9.577454566955566, -2.143752098083496, -0.825531005859375, -11.491183280944824]	[-0.24796390533447266, -15.479179382324219, -9.577454566955566, -7.132730960845947, -0.7132472991943359, -11.808938026428223]	39.76506423950195	44.95951461791992	5.194450378417969
78	[-0.9959850311279297, -16.325210571289062, -12.182780265808105, -9.182472229003906, -0.132476806640625, -10.274392127990723]	[-0.9959850311279297, -16.325210571289062, -12.182780265808105, -12.34685230255127, -0.09649085998535156, -11.091669082641602]	49.093318939208984	53.03898620605469	3.945667266845703
79	[-0.9189767837524414, -17.70009422302246, -7.845862865447998, -6.6682233810424805, -0.13141822814941406, -12.592373847961426]	[-0.9189767837524414, -17.70009422302246, -7.845862865447998, -7.726020812988281, -0.1853809356689453, -12.382567405700684]	45.85694885253906	46.75890350341797	0.9019546508789062
80	[-1.8152780532836914, -16.345829010009766, -6.401647567749023, -6.147621154785156, -2.809786796569824, -1.4668045043945312, -10.563499450683594]	[-1.8152780532836914, -16.345829010009766, -6.401647567749023, -6.147621154785156, -3.2750110626220703, -1.4336833953857422, -10.546586036682129]	45.55046844482422	45.965660095214844	0.415191650390625
81	[-0.9973163604736328, -16.956022262573242, -10.448017120361328, -7.113541603088379, -2.011474609375, -10.486040115356445]	[-0.9973163604736328, -16.956022262573242, -10.448017120361328, -11.579977989196777, -1.7508907318115234, -10.264005661010742]	48.012413024902344	51.99623107910156	3.9838180541992188
82	[-0.8109655380249023, -17.42300796508789, -13.1546630859375, -6.716944694519043, -1.8261299133300781, -10.638652801513672]	[-0.8109655380249023, -17.42300796508789, -13.1546630859375, -10.651391983032227, -1.4250469207763672, -10.458965301513672]	50.57036590576172	53.924041748046875	3.3536758422851562
83	[-1.0714235305786133, -17.25106430053711, -13.535550117492676, -7.545178413391113, -1.7842025756835938, -10.753678321838379]	[-1.0714235305786133, -17.25106430053711, -13.535550117492676, -11.32148551940918, -1.4543685913085938, -10.595694541931152]	51.941097259521484	55.229583740234375	3.2884864807128906
84	[-0.6055135726928711, -16.18407440185547, -6.9613542556762695, -9.187116622924805, -0.4941434860229492, -10.926889419555664]	[-0.6055135726928711, -16.18407440185547, -6.9613542556762695, -9.795952796936035, -0.4059915542602539, -9.64672565460205]	44.359092712402344	43.599609375	-0.7594833374023438
85	[-0.5858030319213867, -17.918960571289062, -10.968276023864746, -4.721820831298828, -3.604731559753418, -10.289917945861816]	[-0.5858030319213867, -17.918960571289062, -10.968276023864746, -7.257171630859375, -1.8902559280395508, -10.136258125305176]	48.08951187133789	48.7567253112793	0.6672134399414062
86	[-0.5170831680297852, -14.960087776184082, -9.214866638183594, -9.11902141571045, -0.7205543518066406, -1.6832656860351562, -11.267662048339844]	[-0.5170831680297852, -14.960087776184082, -9.214866638183594, -9.11902141571045, -2.5213565826416016, -1.2960033416748047, -11.990676879882812]	47.482540130615234	49.61909484863281	2.136554718017578
87	[-2.4676008224487305, -16.36296844482422, -8.803775787353516, -8.336137771606445, -0.08075523376464844, -11.281120300292969]	[-2.4676008224487305, -16.36296844482422, -8.803775787353516, -8.0336332321167, -0.2789134979248047, -10.777986526489258]	47.332359313964844	46.72488021850586	-0.6074790954589844
88	[-1.387953758239746, -16.59244155883789, -10.038240432739258, -3.3939523696899414, -2.1312179565429688, -10.901333808898926]	[-1.387953758239746, -16.59244155883789, -10.038240432739258, -5.213299751281738, -2.608671188354492, -10.928291320800781]	44.44513702392578	46.76889419555664	2.3237571716308594
89	[-1.7599153518676758, -17.759395599365234, -8.223115921020508, -1.8841180801391602, -3.144850730895996, -9.721056938171387]	[-1.7599153518676758, -17.759395599365234, -8.223115921020508, -7.292539119720459, -2.212559700012207, -10.079086303710938]	42.492454528808594	47.32661056518555	4.834156036376953
90	[-1.868638038635254, -16.419931411743164, -11.037069320678711, -6.174774646759033, -2.1202239990234375, -10.377023696899414]	[-1.868638038635254, -16.419931411743164, -11.037069320678711, -9.467975616455078, -1.4651765823364258, -10.12413215637207]	47.997657775878906	50.3829231262207	2.385265350341797
91	[-1.5181188583374023, -17.61861228942871, -12.831518173217773, -5.465410232543945, -0.07172966003417969, -0.8330211639404297, -12.572549819946289]	[-1.5181188583374023, -17.61861228942871, -12.831518173217773, -5.465410232543945, -2.8878536224365234, -12.104451179504395]	50.91095733642578	52.42596435546875	1.5150070190429688
92	[-1.2067527770996094, -16.714977264404297, -11.011146545410156, -8.024425506591797, -2.035768508911133, -10.67470932006836]	[-1.2067527770996094, -16.714977264404297, -11.011146545410156, -12.400779724121094, -1.7694530487060547, -10.504051208496094]	49.667781829833984	53.60716247558594	3.939380645751953
93	[-1.174452781677246, -16.136932373046875, -9.413050651550293, -4.244502067565918, -0.06690216064453125, -1.0474157333374023, -9.628400802612305]	[-1.174452781677246, -16.136932373046875, -9.413050651550293, -4.244502067565918, -2.802082061767578, -1.4100313186645508, -9.627460479736328]	41.7116584777832	44.80851364135742	3.0968551635742188
94	[-1.3852348327636719, -17.42377281188965, -11.746366500854492, -6.745693683624268, -0.9883460998535156, -11.244613647460938]	[-1.3852348327636719, -17.42377281188965, -11.746366500854492, -9.189610481262207, -0.8271541595458984, -11.06024169921875]	49.534027099609375	51.632381439208984	2.0983543395996094
